item,itemLabel
http://www.wikidata.org/entity/Q81777,Panzer Dragoon Saga
http://www.wikidata.org/entity/Q81841,Fracture
http://www.wikidata.org/entity/Q82050,Tales of the Abyss
http://www.wikidata.org/entity/Q83115,Fantasy World Dizzy
http://www.wikidata.org/entity/Q83265,Grand Theft Auto: San Andreas
http://www.wikidata.org/entity/Q83524,Family Guy: Back to the Multiverse
http://www.wikidata.org/entity/Q83565,Epic Mickey 2: The Power of Two
http://www.wikidata.org/entity/Q83843,Forza Horizon
http://www.wikidata.org/entity/Q83995,Warlock: Master of the Arcane
http://www.wikidata.org/entity/Q87693,4 Soccer Simulators
http://www.wikidata.org/entity/Q88226,4x4 Off-Road Racing
http://www.wikidata.org/entity/Q88240,720°
http://www.wikidata.org/entity/Q88255,750cc Grand Prix
http://www.wikidata.org/entity/Q88273,A-Jax
http://www.wikidata.org/entity/Q88456,A Question of Sport
http://www.wikidata.org/entity/Q88486,A View to a Kill
http://www.wikidata.org/entity/Q88519,Aaargh!
http://www.wikidata.org/entity/Q88545,Abyss
http://www.wikidata.org/entity/Q88582,Heroes of the Lance
http://www.wikidata.org/entity/Q88604,3-D Tic-Tac-Toe
http://www.wikidata.org/entity/Q88649,Mission: Asteroid
http://www.wikidata.org/entity/Q88742,Bubble Dizzy
http://www.wikidata.org/entity/Q88759,Bubble Bobble
http://www.wikidata.org/entity/Q88828,Captain Blood
http://www.wikidata.org/entity/Q88855,California Games
http://www.wikidata.org/entity/Q88921,Cabal
http://www.wikidata.org/entity/Q88947,Renegade
http://www.wikidata.org/entity/Q88972,River Raid
http://www.wikidata.org/entity/Q90975,Bumpy
http://www.wikidata.org/entity/Q90985,Cauldron II: The Pumpkin Strikes Back
http://www.wikidata.org/entity/Q90990,Championship Sprint
http://www.wikidata.org/entity/Q90994,Chase H.Q.
http://www.wikidata.org/entity/Q90999,Zombi
http://www.wikidata.org/entity/Q91084,Captain Dynamo
http://www.wikidata.org/entity/Q91220,Yie Ar Kung-Fu
http://www.wikidata.org/entity/Q91235,Yie Ar Kung-Fu II
http://www.wikidata.org/entity/Q91247,Zaxxon
http://www.wikidata.org/entity/Q91268,Archon: The Light and the Dark
http://www.wikidata.org/entity/Q91282,Arkanoid
http://www.wikidata.org/entity/Q91419,Back to the Future
http://www.wikidata.org/entity/Q91501,Back to the Future
http://www.wikidata.org/entity/Q93655,The Humans
http://www.wikidata.org/entity/Q93951,Little Inferno
http://www.wikidata.org/entity/Q94355,Cars 2
http://www.wikidata.org/entity/Q94460,Grand Theft Auto 2
http://www.wikidata.org/entity/Q94501,Grand Theft Auto
http://www.wikidata.org/entity/Q94640,Grand Theft Auto: Vice City Stories
http://www.wikidata.org/entity/Q94671,Grand Theft Auto: Vice City
http://www.wikidata.org/entity/Q94778,Grand Theft Auto: Liberty City Stories
http://www.wikidata.org/entity/Q94797,Grand Theft Auto IV
http://www.wikidata.org/entity/Q94871,Grand Theft Auto: Chinatown Wars
http://www.wikidata.org/entity/Q99730,Dan Dare: Pilot of the Future
http://www.wikidata.org/entity/Q100042,Blasteroids
http://www.wikidata.org/entity/Q100096,Mega Man X2
http://www.wikidata.org/entity/Q102303,Akalabeth: World of Doom
http://www.wikidata.org/entity/Q106827,Second Life
http://www.wikidata.org/entity/Q110607,Clannad
http://www.wikidata.org/entity/Q111683,Chromehounds
http://www.wikidata.org/entity/Q112912,Lego Batman 2: DC Super Heroes
http://www.wikidata.org/entity/Q113100,Cloud
http://www.wikidata.org/entity/Q113106,Crusader of Centy
http://www.wikidata.org/entity/Q113289,Chivalry: Medieval Warfare
http://www.wikidata.org/entity/Q113979,Metal Drift
http://www.wikidata.org/entity/Q114922,Memories Off 6: Next Relation
http://www.wikidata.org/entity/Q115508,The Idolmaster Cinderella Girls
http://www.wikidata.org/entity/Q115529,Memories Off: Yubikiri no Kioku
http://www.wikidata.org/entity/Q115571,Memories Off 6: T-wave
http://www.wikidata.org/entity/Q115806,Heavy Metal: F.A.K.K. 2
http://www.wikidata.org/entity/Q116578,Guitar Hero
http://www.wikidata.org/entity/Q117809,Kal Online
http://www.wikidata.org/entity/Q117859,Trine
http://www.wikidata.org/entity/Q119538,MineStorm
http://www.wikidata.org/entity/Q126194,Minesweeper
http://www.wikidata.org/entity/Q126474,Transformice
http://www.wikidata.org/entity/Q128291,Anno 2070
http://www.wikidata.org/entity/Q128561,Q.U.B.E.
http://www.wikidata.org/entity/Q128794,0x10c
http://www.wikidata.org/entity/Q129000,Banjo-Kazooie
